Period;Minyak_Goreng
1;15250
2;15250
3;15300
4;15250
5;15300
6;15350
7;15250
8;15300
9;15600
10;15650
11;15900
12;15950
13;16200
14;16200
15;16250
16;16600
17;16800
18;16800
19;16800
20;16850
21;16900
22;17150
23;17550
24;17750
25;17800
26;18300
27;18750
28;19200
29;19400
30;19400
31;19750
32;20100
33;20200
34;20350
35;20500
36;20700
37;20700
38;20700
39;20150
40;18250
41;17600
42;17100
43;17100
44;16850
45;16850
46;19600
47;23300
48;23850
49;23400
50;23400
51;23500
52;23750
53;23150
54;22900
55;22100
56;22100
57;21850
58;21700
59;21350
60;20850
61;20700
62;19600
63;20700
64;20450
65;19350
66;19000
67;18800
68;18250
69;18100
70;17750
71;17750
72;17650
73;17650
74;17700
75;17650
76;17800
77;17850
78;17900
79;17950
80;18600
81;18850
82;18750
83;18650
84;18650
85;18650
86;18650
87;18650
88;18650
89;18650
90;18650
91;18650
92;18650
93;18650
94;18650
95;18650
96;18650
97;18750
98;18750
99;18750
100;18750
101;18750
102;18750
103;18750
104;18750
105;18750
106;18750
107;18750
108;18750
109;18750
110;18750
111;18750
112;18750
113;18750
114;18750
115;18700
116;18700
117;18600
118;18600
119;18600
120;18500
